STRASSE,STRANAM,HSZ
968,Edelweißstr.,12
968,Edelweißstr.,13
968,Edelweißstr.,14
1247,Forggenseestr.,13
1247,Forggenseestr.,14
1155,Fasangartenstr.,91a
1155,Fasangartenstr.,91b
1155,Fasangartenstr.,91d
1155,Fasangartenstr.,94
1260,Frankenwaldstr.,50
1260,Frankenwaldstr.,50a
1260,Frankenwaldstr.,52
1260,Frankenwaldstr.,54
1260,Frankenwaldstr.,56
1287,Frasdorfer Str.,1
1287,Frasdorfer Str.,2
4369,Setzbergstr.,7
4369,Setzbergstr.,9
4369,Setzbergstr.,15
4673,Tegernseer Landstr.,272
4673,Tegernseer Landstr.,273
4673,Tegernseer Landstr.,275
4673,Tegernseer Landstr.,276
4673,Tegernseer Landstr.,279
4673,Tegernseer Landstr.,281
1212,Fischbachauer Str.,67
1212,Fischbachauer Str.,69
1212,Fischbachauer Str.,70
1212,Fischbachauer Str.,72
1212,Fischbachauer Str.,74
1212,Fischbachauer Str.,76
1235,Flossenbürger Str.,2
2432,Kiesmüllerstr.,3
2432,Kiesmüllerstr.,4
2432,Kiesmüllerstr.,9
1247,Forggenseestr.,15
1247,Forggenseestr.,16
1247,Forggenseestr.,20
1247,Forggenseestr.,22
1247,Forggenseestr.,32
1939,Hermelinweg,1
1939,Hermelinweg,1a
1939,Hermelinweg,2
1287,Frasdorfer Str.,3
1287,Frasdorfer Str.,6
1287,Frasdorfer Str.,6a
1287,Frasdorfer Str.,6b
2088,Hohenschwangaustr.,12
2088,Hohenschwangaustr.,13
2088,Hohenschwangaustr.,14
2088,Hohenschwangaustr.,16
2088,Hohenschwangaustr.,17
2088,Hohenschwangaustr.,18
4295,Schwarzenbergstr.,3
4295,Schwarzenbergstr.,4
4295,Schwarzenbergstr.,4a
4295,Schwarzenbergstr.,7
4673,Tegernseer Landstr.,227
4673,Tegernseer Landstr.,229
4673,Tegernseer Landstr.,233
4673,Tegernseer Landstr.,235
4673,Tegernseer Landstr.,236
4673,Tegernseer Landstr.,238
2432,Kiesmüllerstr.,10
2432,Kiesmüllerstr.,12
2432,Kiesmüllerstr.,17
2432,Kiesmüllerstr.,20
2432,Kiesmüllerstr.,24
2434,Kiesstr.,2
2434,Kiesstr.,3
2749,Leifstr.,4
2749,Leifstr.,6
2749,Leifstr.,7
1939,Hermelinweg,4
1939,Hermelinweg,6
1939,Hermelinweg,8
1939,Hermelinweg,9
1939,Hermelinweg,10
1939,Hermelinweg,11
1939,Hermelinweg,12
3008,Marquartsteiner Str.,3
3008,Marquartsteiner Str.,4
3008,Marquartsteiner Str.,8
3008,Marquartsteiner Str.,9
2088,Hohenschwangaustr.,19
2580,Kreillerstr.,181c
2088,Hohenschwangaustr.,22
2088,Hohenschwangaustr.,23
3277,Neuschwansteinpl.,4
3277,Neuschwansteinpl.,5
3277,Neuschwansteinpl.,6
3331,Oberaudorfer Str.,1
3331,Oberaudorfer Str.,3
3331,Oberaudorfer Str.,5
2588,Kreuzbichlweg,6
2588,Kreuzbichlweg,8
2588,Kreuzbichlweg,10
2608,Kronacher Str.,6
2608,Kronacher Str.,8
2608,Kronacher Str.,10
3505,Pennstr.,33
3505,Pennstr.,35
3505,Pennstr.,38
3505,Pennstr.,39
3505,Pennstr.,43
2749,Leifstr.,8
2749,Leifstr.,10
2749,Leifstr.,11
2749,Leifstr.,13
2749,Leifstr.,14
2749,Leifstr.,15
2749,Leifstr.,16
2749,Leifstr.,17
2749,Leifstr.,19
829,Deisenhofener Str.,116
829,Deisenhofener Str.,118
3008,Marquartsteiner Str.,11
3008,Marquartsteiner Str.,12
3008,Marquartsteiner Str.,13
3020,Martin-Luther-Str.,1
3020,Martin-Luther-Str.,2
3020,Martin-Luther-Str.,4
1017,Eintrachtstr.,1
1017,Eintrachtstr.,2
1017,Eintrachtstr.,4
1017,Eintrachtstr.,5
3331,Oberaudorfer Str.,7
3331,Oberaudorfer Str.,9
3331,Oberaudorfer Str.,13
3331,Oberaudorfer Str.,15
1155,Fasangartenstr.,96
1155,Fasangartenstr.,96a
1155,Fasangartenstr.,97
1155,Fasangartenstr.,98
1155,Fasangartenstr.,98a
1155,Fasangartenstr.,98b
3505,Pennstr.,52
3505,Pennstr.,58
3517,Perlacher Str.,1
3517,Perlacher Str.,4
3517,Perlacher Str.,5
1155,Fasangartenstr.,150
1155,Fasangartenstr.,150a
1155,Fasangartenstr.,150b
1155,Fasangartenstr.,150c
829,Deisenhofener Str.,120
829,Deisenhofener Str.,123
829,Deisenhofener Str.,125
829,Deisenhofener Str.,129
882,Döbrastr.,1
882,Döbrastr.,3
882,Döbrastr.,6
1235,Flossenbürger Str.,3
1235,Flossenbürger Str.,3a
1017,Eintrachtstr.,7
1017,Eintrachtstr.,10
1017,Eintrachtstr.,12
1017,Eintrachtstr.,16
