STRASSE,STRANAM,HSZ
900,Donaustr.,32
1733,Häusserstr.,21
2010,Hitzestr.,7
2010,Hitzestr.,11
2053,Höslstr.,5
2053,Höslstr.,10
2053,Höslstr.,14
2083,Hohenlindener Str.,8
2086,Hohensalzaer Str.,18
2116,Hornsteinstr.,16
2196,Innstr.,14
2197,Insterburger Str.,9
2220,Ismaninger Str.,63
2220,Ismaninger Str.,116
2221,Isolde-Kurz-Str.,4
2225,Jacobistr.,2
2241,Jankstr.,6
2241,Jankstr.,11
2241,Jankstr.,19
2248,Jensenstr.,4
2256,Johanneskirchner Str.,16
2394,Kattowitzer Str.,67
2444,Kirchheimer Str.,9
2444,Kirchheimer Str.,24
2516,Königsberger Str.,7
2516,Königsberger Str.,15
2516,Königsberger Str.,16
2535,Kolbergerstr.,5
2535,Kolbergerstr.,25
2541,Konitzer Str.,8
2541,Konitzer Str.,16
2585,Krenklstr.,5
2585,Krenklstr.,21
2585,Krenklstr.,27
2640,Kulmer Str.,17
2680,Lamontstr.,23
2709,Laplacestr.,5
2709,Laplacestr.,8
2794,Leutweinstr.,21
2866,Lohengrinstr.,30
2866,Lohengrinstr.,51
2886,Lublinitzer Str.,23
2901,Lüderitzstr.,21
2901,Lüderitzstr.,37
803,Daglfinger Str.,38
803,Daglfinger Str.,51
839,Denninger Str.,179
839,Denninger Str.,193
839,Denninger Str.,225
877,Dirschauer Str.,14
2355,Karlsbader Str.,1
877,Dirschauer Str.,56
894,Dominikstr.,17
894,Dominikstr.,23
894,Dominikstr.,44
911,Dorpater Str.,10
936,Düppeler Str.,10
936,Düppeler Str.,18
956,Ebersberger Str.,3
956,Ebersberger Str.,34
980,Effnerstr.,53
980,Effnerstr.,64
980,Effnerstr.,122
980,Effnerstr.,130
1010,Eifelstr.,3
1010,Eifelstr.,11
1130,Eylauer Str.,17
1130,Eylauer Str.,15
1130,Eylauer Str.,19
1130,Eylauer Str.,32
1196,Feuersteinstr.,2
1219,Flaschenträgerstr.,10
1219,Flaschenträgerstr.,6
1225,Flemingstr.,15
1225,Flemingstr.,37
1225,Flemingstr.,55
1225,Flemingstr.,58
101,Alsenweg,21
166,Am Hierlbach,39
268,Apenrader Str.,10
276,Arberstr.,21
310,Asgardstr.,28
481,Beetzstr.,15
498,Bennigsenstr.,9
502,Berberstr.,3
502,Berberstr.,14
507,Berenter Str.,5
507,Berenter Str.,13
507,Berenter Str.,23
555,Beuthener Str.,11
555,Beuthener Str.,23
555,Beuthener Str.,41
619,Böhmerwaldpl.,13
684,Bromberger Str.,14
759,Chamissostr.,4
788,Cosimastr.,81
788,Cosimastr.,91
803,Daglfinger Str.,26
803,Daglfinger Str.,36
1225,Flemingstr.,70
1225,Flemingstr.,98
1225,Flemingstr.,104
1265,Franz-Fischer-Str.,13
1351,Frithjofstr.,6
1441,Gellertstr.,16
1444,Gemingstr.,20
1521,Gleimstr.,3
1522,Gleißenbachstr.,7
1526,Gleiwitzer Str.,2
1542,Gnesener Str.,16
1542,Gnesener Str.,22
1580,Gotthelfstr.,36
1601,Gralstr.,7
1601,Gralstr.,9
1638,Gröbenstr.,2
1638,Gröbenstr.,5
1638,Gröbenstr.,27
1665,Grüntal,15
1730,Händelstr.,5
5139,Wiesenstr.,16
5170,Wilhelmshavener Str.,12
5613,Ehrenbreitsteiner Str.,10
5613,Ehrenbreitsteiner Str.,23
5625,Bunzlauer Str.,8
5646,Hugo-Troendle-Str.,56
18,Adalbert-Stifter-Str.,33
18,Adalbert-Stifter-Str.,47
18,Adalbert-Stifter-Str.,53
101,Alsenweg,11
1010,Eifelstr.,14
1010,Eifelstr.,17
1010,Eifelstr.,25
1029,Elbestr.,4
1030,Elbinger Str.,6
1042,Elsastr.,10
1066,Englschalkinger Str.,150
1066,Englschalkinger Str.,221
1127,Evastr.,32
1127,Evastr.,33
1130,Eylauer Str.,11
207,Am Perlacher Forst,182
2,Aaröstr.,22
684,Bromberger Str.,6
1068,Ennemoserstr.,7
2197,Insterburger Str.,19
2444,Kirchheimer Str.,11
3038,Mauerkircherstr.,105
3185,Moselstr.,26
3356,Oberschlesische Str.,10
3646,Posener Pl.,14
4059,St. Emmeram,34
198,Am Moosfeld,96
201,Am Neufeld,2
219,Am Sommerfeld,9
5240,Würmseestr.,19
5240,Würmseestr.,55
4034,Salvatorstr.,7
223,Am Vogelherd,10
226,Am Waldrand,9
226,Am Waldrand,39b
5946,Am Westpark,8
228,Am Wiesenbach,8
5242,Würmtalstr.,30
5242,Würmtalstr.,83
5242,Würmtalstr.,97
235,An der Rehwiese,6
240,Andreas-Vöst-Str.,5
242,Anechostr.,11
246,Angerlohstr.,2
246,Angerlohstr.,17
246,Angerlohstr.,28
246,Angerlohstr.,50
4872,Varnhagenstr.,7
5267,Zaubzerstr.,29
383,Bad-Schachener-Str.,135
510,Berger-Kreuz-Str.,34
3441,Ottweilerstr.,2b
959,Echardinger Str.,83a
1489,Gerstäckerstr.,59
2497,Kniggestr.,15
3531,Peter-Henlein-Str.,15
5938,Dr.-Walther-von-Miller-Str.,23
5315,Zornedinger Str.,10
959,Echardinger Str.,53
1755,Halfinger Str.,33
2618,Krumbadstr.,10
910,Dorotheenstr.,20
1334,Friedrich-Creuzer-Str.,4
1438,Geitnerweg,16
1645,Groschenweg,31
1717,Habichtstr.,10
6593,Brachsenstr.,4
1869,Heilwigstr.,11
1995,Hinterrißstr.,7
1996,Hippelstr.,48
2233,Jagdhornstr.,26
2454,Kirtaweg,24
2521,Königsseestr.,50
2591,Kreuzerweg,48
2744,Leibengerstr.,23
3976,Rüdesheimer Str.,1
5769,Regattaweg,68
3160,Mondseestr.,22
3434,Ottilienstr.,10
4039,Salzmesserstr.,106
185,Am Langwieder Bach,18
185,Am Langwieder Bach,93
5229,Wolfskehlstr.,4
5233,Wollnystr.,14
191,Am Lochholz,43
192,Am Loferfeld,15
192,Am Loferfeld,37
194,Ammergaustr.,17
195,Ammerlandstr.,18
197,Am Mitterfeld,30
197,Am Mitterfeld,55
246,Angerlohstr.,62
2906,Lützowstr.,23
3927,Rosenstr.,5
1962,Herzogstr.,49
1353,Fritz-Berne-Str.,47
3343,Obere Weidenstr.,9
5318,Zuccalistr.,16
252,Anhalter Str.,7
253,Ankoglstr.,32
5057,Weinstr.,1
4706,Theresienstr.,71a
4230,Schönseer Str.,7
5053,Weinbauernstr.,16
319,Athener Str.,48
356,Autharistr.,42
1371,Füllstr.,3
1667,Grünwalder Str.,36
3099,Meraner Str.,23
3243,Naupliastr.,108
3796,Reinekestr.,58
4014,Säbener Pl.,7
4638,Südtiroler Str.,2
135,Am Blütenring,51
135,Am Blütenring,61
135,Am Blütenring,70a
147,Am Eulenhorst,53
150,Am Gänsebühel,10
156,Am Graben,12
5288,Zenettistr.,21
162,Am Haselnußstrauch,13
165,Am Heidebruch,2
165,Am Heidebruch,24
166,Am Hierlbach,42
169,Am Hochacker,51
2202,Irmgardstr.,3a
176,Am Jagdweg,15
5227,Wolfratshauser Str.,34
5227,Wolfratshauser Str.,96
5227,Wolfratshauser Str.,183
181,Am Knie,7
5227,Wolfratshauser Str.,240a
5227,Wolfratshauser Str.,268
2600,Kriegelsteinerstr.,16
3148,Möhlstr.,41
2690,Landsberger Str.,150
358,Auwiesenweg,14
781,Clemensstr.,21
2097,Hollandstr.,12
3155,Mohrstr.,12
3644,Portweg,3
3726,Rainackerweg,7
3828,Rheinlandstr.,4a
2678,Laimer Str.,50
4917,Volksgartenstr.,2
1249,Forstenrieder Allee,213
1361,Frohnloher Str.,7
2456,Kistlerhofstr.,102a
2592,Kreuzhofstr.,25
3046,Maxhofstr.,27
3334,Oberbrunner Str.,9
3909,Rohrauerstr.,8
3980,Rueppstr.,18
5282,Zeismeringer Str.,5
1579,Gotthardstr.,44
4400,Siglstr.,11
858,Dientzenhoferstr.,4
1468,Georg-von-Mayr-Str.,6
1731,Hänflingweg,26
2275,Josef-Ressel-Str.,34
2994,Marienbader Str.,14
3858,Riesenfeldstr.,115
2091,Hohentwielstr.,6
3500,Pelkovenstr.,42
5044,Weidmannstr.,18
5170,Wilhelmshavener Str.,28
135,Am Blütenring,17
135,Am Blütenring,21
3542,Pettenkoferstr.,22
2782,Lerchenfeldstr.,28
4841,Untere Feldstr.,9
1260,Frankenwaldstr.,3
2827,Lincolnstr.,31
5246,Wüstensteiner Str.,4
5248,Wunderlichstr.,2
5253,Wurzgartenweg,22
263,Anton-Will-Str.,17
267,Anzlgutstr.,45
4072,St.-Quirin-Str.,19
4443,Solothurner Str.,64
1030,Elbinger Str.,4
4443,Solothurner Str.,92
4444,Sommerstr.,45
4449,Sonnenblumenstr.,36
1032,Elfriedenstr.,6
6116,Sonnleitnerstr.,1
4457,Sophienstr.,3
4458,Sophie-Stehle-Str.,6
4511,Staltacher Str.,29
1132,Faberstr.,13
3681,Prinzregentenstr.,87
3681,Prinzregentenstr.,152
3743,Rappelhofstr.,6
3812,Rennbahnstr.,54
3836,Richard-Strauss-Str.,15
3836,Richard-Strauss-Str.,38
3836,Richard-Strauss-Str.,53
3856,Rienzipl.,13
3900,Rößeler Str.,22
4059,St. Emmeram,1
4590,Stolzingstr.,82
4626,Stuntzstr.,11
4626,Stuntzstr.,29
5039,Wehrlestr.,14
5380,Regina-Ullmann-Str.,26
5380,Regina-Ullmann-Str.,37
5509,Knappertsbuschstr.,33
961,Echinger Str.,17a
249,Angerweg,10
267,Anzlgutstr.,24
305,Aschenbrödelstr.,3
4518,Staudenrauchstr.,24
1328,Friedenspromenade,42
2829,Lindauerstr.,9
1123,Eulenspiegelstr.,67
1746,Haidhauser Str.,18
4444,Sommerstr.,12
1667,Grünwalder Str.,108
6768,Am Kartoffelgarten,18
1834,Haylerstr.,20a
1140,Faganastr.,5b
2223,Ittlingerstr.,72a
1318,Freudstr.,15
2223,Ittlingerstr.,82
1140,Faganastr.,5c
3136,Mitteisstr.,10
1318,Freudstr.,17
410,Balsaminenstr.,3
3714,Radlkoferstr.,13
3622,Plinganserstr.,6
8,Aberlestr.,22e
3151,Möschenfelder Str.,14
1568,Gollierstr.,81
2884,Lothstr.,15
230,Am Wiesrain,11
1718,Habsburgerpl.,1
1185,Ferdinand-Maria-Str.,32
4093,Schachnerstr.,6
3531,Peter-Henlein-Str.,11
3408,Ortnitstr.,40
3417,Osserstr.,19
3681,Prinzregentenstr.,60
3681,Prinzregentenstr.,75
3344,Oberföhringer Str.,12a
3344,Oberföhringer Str.,34
3344,Oberföhringer Str.,57
3344,Oberföhringer Str.,111
3344,Oberföhringer Str.,153a
3344,Oberföhringer Str.,240a
3356,Oberschlesische Str.,27
3395,Opitzstr.,10
3407,Ortlindestr.,5
1017,Eintrachtstr.,11
961,Echinger Str.,9d
383,Bad-Schachener-Str.,22
383,Bad-Schachener-Str.,38
400,Balanstr.,84a
2960,Mangfallstr.,21
230,Am Wiesrain,16
1538,Gmunder Str.,43
4931,Von-Gravenreuth-Str.,25
6776,Franz-Heubl-Str.,25
4830,Ulrich-von-Hutten-Str.,51
1046,Emanuelstr.,22
1047,Emdenstr.,61
1047,Emdenstr.,78
1838,Hechtseestr.,117
1056,Endelhauserstr.,14
1062,Engelhardstr.,24
2,Aaröstr.,46
1066,Englschalkinger Str.,203
1067,Enhuberstr.,6
1072,Enzenspergerstr.,3
1433,Geisenbrunner Str.,77
1446,Genfer Pl.,6
1617,Graubündener Str.,39
1818,Hatzelweg,10
2325,Kaltschmiedstr.,3
2395,Katzbachstr.,2
2415,Kerschlacher Str.,24
2524,Königswieser Str.,115
6549,Auerhahnweg,11
4303,Schwedensteinstr.,17d
4434,Solalindenstr.,63c
4434,Solalindenstr.,69a
4523,Steffelhofstr.,13a
2743,Lehrer-Götz-Weg,13
2870,Loichingerstr.,2a
6521,Hererostr.,5
6521,Hererostr.,9
6521,Hererostr.,12
6521,Hererostr.,23
4989,Waldschulstr.,63
6424,An der Würm,12
4522,Steffanistr.,1b
4481,Spieljochstr.,1a
4484,Spindlerstr.,14a
2152,Iblherstr.,55
2217,Isengaustr.,9
6126,Gustav-Heinemann-Ring,116
2217,Isengaustr.,37
1093,Ernst-Platz-Str.,49
1097,Ertelstr.,6
1100,Erzgießereistr.,51
1103,Eschenrieder Str.,86
1123,Eulenspiegelstr.,75
972,Eduard-Fentsch-Weg,19
6058,Eduard-Schleich-Weg,1
4431,Söltlstr.,4
980,Effnerstr.,31
985,Eggenfeldener Str.,127
3197,Mühlthaler Str.,97a
994,Ehrenfelsstr.,3c
1002,Eichendorffpl.,11
1016,Einsteinstr.,169
1160,Fatimastr.,15
1160,Fatimastr.,29
1249,Forstenrieder Allee,25
1249,Forstenrieder Allee,46
1249,Forstenrieder Allee,119
1249,Forstenrieder Allee,126
1249,Forstenrieder Allee,142
1249,Forstenrieder Allee,163
1249,Forstenrieder Allee,243
3445,Packenreiterstr.,34
1433,Geisenbrunner Str.,56
1433,Geisenbrunner Str.,64a
1432,Geiselgasteigstr.,110
2490,Klosestr.,10
2056,Hofangerstr.,22
5752,Von-Knoeringen-Str.,23
4836,Unterbiberger Str.,14
235,An der Rehwiese,9
6757,Otto-Meitinger-Str.,14
775,Claudius-Keller-Str.,30
1754,Haldenseestr.,41
4455,Sonnwendjochstr.,80
1671,Gruithuisenstr.,2f
2247,Jennerstr.,17a
2360,Karlsfelder Str.,276d
103,Alte Allee,96
6568,Storchenweg,21
6568,Storchenweg,34
6568,Storchenweg,44
6568,Storchenweg,46
6568,Storchenweg,31
6568,Storchenweg,35
6262,Am Neubruch,39
2786,Leuchsstr.,47
3129,Mimosenstr.,2a
3814,Reschreiterstr.,12
3814,Reschreiterstr.,22
3896,Röhrichtstr.,28a
1179,Feldmochinger Str.,224
6293,Fingerhutstr.,12
4212,Schneeglöckchenstr.,124a
6274,Berchardweg,7
6273,Am Pfaffensteig,7
6276,Schlottwiesenweg,8
6276,Schlottwiesenweg,23
6272,Auwasserweg,24
4332,Seefelder Str.,16
1039,Elmauer Str.,1b
1775,Hansastr.,21
6267,Max-Seidl-Weg,10
6267,Max-Seidl-Weg,22
6267,Max-Seidl-Weg,32
6267,Max-Seidl-Weg,38
6262,Am Neubruch,29
5727,Wilhelm-Zwölfer-Str.,29
2967,Manresastr.,33c
2970,Manzostr.,7a
6523,Mühlangerstr.,42
3487,Paul-Ehrlich-Weg,38
3487,Paul-Ehrlich-Weg,42
5022,Wasserburger Landstr.,225
5109,Westermeierstr.,46
5254,Xaver-Weismor-Str.,58
5254,Xaver-Weismor-Str.,86
167,Am Himbeerschlag,3
957,Eberwurzstr.,1
797,Dachauer Str.,539
6240,Georg-Kainz-Str.,1
134,Am Blütenanger,157
6259,Auf den Schrederwiesen,62
6260,Rothwiesenstr.,22
6259,Auf den Schrederwiesen,19
6259,Auf den Schrederwiesen,37
6259,Auf den Schrederwiesen,59
6259,Auf den Schrederwiesen,77
6494,Kurt-Landauer-Weg,8
1293,Frauenschuhstr.,24
3836,Richard-Strauss-Str.,56
1798,Harpprechtstr.,23
1798,Harpprechtstr.,27
2360,Karlsfelder Str.,40a
2360,Karlsfelder Str.,209b
2622,Kuckucksblumenstr.,12a
804,Dahlienstr.,2
4522,Steffanistr.,1a
5107,Westerholzstr.,2c
84,Allacher Str.,118a
84,Allacher Str.,213a
485,Behringstr.,125
6211,Prof.-Eichmann-Str.,6
6211,Prof.-Eichmann-Str.,11
6211,Prof.-Eichmann-Str.,18
1263,Franz-Albert-Str.,31a
1574,Goteboldstr.,36a
2630,Kürnbergstr.,35b
69,Albert-Roßhaupter-Str.,137
3137,Mittenwalder Str.,44a
3406,Ortlerstr.,1c
2529,Kohlgruber Str.,1d
5308,Zirler Str.,12a
345,August-Exter-Str.,29a
600,Blumenauer Str.,131
645,Brachvogelpl.,1b
981,Egenhoferstr.,33
709,Buchauerstr.,19
1945,Herterichstr.,28c
2350,Karl-Marr-Str.,2b
2656,Kurzbauerstr.,18
2900,Ludwig-Werder-Weg,15b
3388,Olivierstr.,11a
1168,Feichthofstr.,167a
2293,Julius-Kreis-Str.,20a
2853,Lochhausener Str.,5c
3098,Menzinger Str.,115a
5575,Hugo-Heiß-Weg,4
3903,Rofanstr.,50
3921,Rosamundenstr.,2c
3953,Rotkehlchenweg,27
6549,Auerhahnweg,23
2586,Krennerweg,6
2166,Iltisstr.,10b
2738,Leebstr.,7
2950,Makartstr.,15
2950,Makartstr.,48
3089,Memlingstr.,23
3133,Minorstr.,16
3175,Moraltstr.,4
3180,Morgensternstr.,17
3388,Olivierstr.,8
3834,Richard-Pietzsch-Weg,6
3916,Romanstr.,64b
4553,Stelznerstr.,3
4640,Sulenstr.,2a
4824,Uhdestr.,14
4906,Vogelanger,7
4942,Vorhoelzerstr.,6
4982,Waldmüllerstr.,28
3377,Offenbachstr.,51a
3409,Ortolfstr.,34b
3595,Pippinger Str.,107d
3604,Pläntschweg,13a
3777,Reginbaldstr.,1a
2057,Hofbauernstr.,22
6266,Johann-Michael-Fischer-Pl.,2
1329,Friedenstr.,26a
1308,Freilassinger Str.,31a
1720,Hachinger-Bach-Str.,14b
2593,Kreuzjochstr.,7
4394,Siegsdorfer Str.,3a
1164,Fauststr.,70c
1246,Forellenstr.,5
6594,Renkenweg,7
1899,Helgastr.,4
1988,Himalajastr.,21
5725,Karakorumstr.,4
2895,Ludwigsfelder Str.,158
6593,Brachsenstr.,3
2025,Hochnißlstr.,4a
2357,Karlsburger Str.,8a
2448,Kirchtruderinger Str.,11d
6310,Maria-Probst-Str.,3
2591,Kreuzerweg,8a
2673,Lafatscherjochstr.,1b
2773,Leonhardiweg,39a
3016,Marthastr.,1b
3076,Meisenstr.,6a
1041,Elsässer Str.,14
2360,Karlsfelder Str.,209g
2823,Limesstr.,3a
3815,Reschstr.,11b
1870,Heimburgstr.,1c
449,Baumbachstr.,21
2276,Josef-Retzer-Str.,18
2284,Joseph-Haas-Weg,24a
3010,Marschnerstr.,14a
3519,Perlschneiderstr.,45
3437,Otto-Engl-Pl.,8a
3476,Pasinger Bahnhofspl.,8
3605,Planegger Str.,29b
3605,Planegger Str.,150
5126,Widarkisstr.,1a
1290,Frauendorferstr.,18
1290,Frauendorferstr.,28
1290,Frauendorferstr.,43
1290,Frauendorferstr.,61
1290,Frauendorferstr.,73
281,Argelsrieder Str.,43
1315,Freseniusstr.,111
1343,Friedrich-Rein-Weg,5
1349,Frihindorfstr.,13a
1355,Fritz-Reuter-Str.,23
117,Altostr.,82
1083,Erlbachstr.,15e
2166,Iltisstr.,9
2166,Iltisstr.,30
2166,Iltisstr.,54
2448,Kirchtruderinger Str.,3
2561,Kothieringerstr.,20
2567,Kranichweg,20
2591,Kreuzerweg,24
5104,Westendstr.,160
2609,Kronenweg,18
2838,Linnenbrüggerstr.,11a
2838,Linnenbrüggerstr.,35
5417,Heinleinstr.,11
2258,Johannes-Tanner-Str.,7
2925,Mädelegabelstr.,117
3117,Michael-Seidl-Str.,2
5928,Josef-Lutz-Weg,19
3276,Neusatzer Str.,1a
3278,Neusönnerstr.,9
3653,Postweg,37
2028,Hochstr.,75b
1732,Härtingerstr.,8a
1847,Heerstr.,12b
1847,Heerstr.,23
1956,Herzog-Johann-Str.,11
2038,Höhenkircherstr.,4
2038,Höhenkircherstr.,20
2181,Im Wismat,24
2181,Im Wismat,25a
2293,Julius-Kreis-Str.,7
2293,Julius-Kreis-Str.,31a
3546,Petzetstr.,41
5953,Peter-Kreuder-Str.,3
2380,Karwinskistr.,7
5164,Wilhelm-Leibl-Str.,17
5227,Wolfratshauser Str.,197
5227,Wolfratshauser Str.,286b
4576,Stievestr.,5
5419,Gabriele-Münter-Str.,19
103,Alte Allee,50
478,Beer-Walbrunn-Str.,9
520,Bergsonstr.,73a
553,Betzenweg,24
553,Betzenweg,61
92,Alois-Wohlmuth-Str.,10a
1083,Erlbachstr.,15f
117,Altostr.,82a
1083,Erlbachstr.,15d
2507,Köferinger Str.,8a
459,Bauseweinallee,36c
1083,Erlbachstr.,15c
2340,Kardinal-Faulhaber-Str.,1
3660,Prannerstr.,4
4034,Salvatorstr.,11
5082,Weltistr.,21
5082,Weltistr.,44
5082,Weltistr.,54d
5082,Weltistr.,98
5121,Whistlerweg,21
888,Dr.-Böttcher-Str.,12
5205,Wintrichring,103
1122,Eugen-Papst-Str.,1
1286,Franz-Wüllner-Str.,1
1286,Franz-Wüllner-Str.,7
1286,Franz-Wüllner-Str.,25
2256,Johanneskirchner Str.,12
6768,Am Kartoffelgarten,12
6768,Am Kartoffelgarten,10
6768,Am Kartoffelgarten,16
1179,Feldmochinger Str.,380
1845,Hederichstr.,16
3503,Penckstr.,13
1183,Ferchenbachstr.,13
2223,Ittlingerstr.,46a
2223,Ittlingerstr.,54a
4303,Schwedensteinstr.,29
4579,Stilfser-Joch-Str.,11
4644,Sulzer-Belchen-Weg,24
4655,Talerweg,8
4656,Tangastr.,9a
4713,Thomas-Hauser-Str.,14
3193,Mühlerweg,1d
3216,Murtalstr.,7
3216,Murtalstr.,17
3216,Murtalstr.,38
3325,Nusselstr.,30a
3966,Ruchsteigerstr.,15
4106,Schafhäutlstr.,7a
4106,Schafhäutlstr.,13
4166,Schleißheimer Str.,313
4166,Schleißheimer Str.,315
4166,Schleißheimer Str.,316
3069,Meggendorferstr.,50
3169,Moosburger Str.,8
3246,Nederlinger Str.,111
3256,Netzerstr.,33
3256,Netzerstr.,39
3256,Netzerstr.,70
3256,Netzerstr.,72
3380,Ohlauer Str.,25
3380,Ohlauer Str.,50
3380,Ohlauer Str.,57
3446,Paduanostr.,11
3500,Pelkovenstr.,27
3500,Pelkovenstr.,54
3500,Pelkovenstr.,87
3325,Nusselstr.,39
3431,Otilostr.,16
3437,Otto-Engl-Pl.,20
3453,Paosostr.,18
3453,Paosostr.,30
3453,Paosostr.,51c
3453,Paosostr.,53b
3488,Paul-Gerhardt-Allee,27
3488,Paul-Gerhardt-Allee,27b
3519,Perlschneiderstr.,29
3537,Peter-Vischer-Str.,11
3563,Pfeivestlstr.,1a
3629,Pörtschacher Str.,9
3629,Pörtschacher Str.,27
3629,Pörtschacher Str.,44
3631,Poetenwinkel,5
3689,Puccinistr.,10
5138,Wiesengrund,1b
5165,Wilhelm-Mayr-Str.,8
2570,Kratzerstr.,3
307,Ascholdinger Str.,21
543,Bertelestr.,3
953,Eberlestr.,19
1189,Fertigstr.,11
1530,Glötzleweg,37
1886,Heinrich-Vogl-Str.,13
3858,Riesenfeldstr.,112
3887,Rockingerstr.,4
3894,Röblingweg,3
3894,Röblingweg,5
3947,Rothpletzstr.,9
3947,Rothpletzstr.,12
6692,Elisabeth-Bergner-Str.,15
935,Dülferstr.,17a
1799,Harrisfeldweg,26
2543,Konrad-Celtis-Str.,76
3793,Reiherweg,20
3803,Reiserstr.,2
5403,Allgäuer Str.,96
4100,Schäßburger Str.,18
4123,Scheibenwiesenweg,48
4303,Schwedensteinstr.,9a
4116,Scharnhorststr.,16
4142,Schiestlstr.,7
4380,Sickingerstr.,25
4392,Siegmund-Schacky-Str.,15
4392,Siegmund-Schacky-Str.,21
4412,Simmerleinpl.,6
4412,Simmerleinpl.,18
4417,Simrockstr.,23
4417,Simrockstr.,46
4782,Triebstr.,35a
4782,Triebstr.,39
5133,Wiegandweg,2
5390,Detmoldstr.,2
5431,Nietzschestr.,6
5431,Nietzschestr.,7
4,Abbachstr.,17
6,Abensbergstr.,32
6,Abensbergstr.,39
6,Abensbergstr.,44
6,Abensbergstr.,63
63,Alarichstr.,3
208,Amperstr.,10
845,Destouchesstr.,66
405,Baldurstr.,39
443,Baubergerstr.,4
560,Bielefelder Str.,8
756,Caubstr.,15
777,Claudiusstr.,9
797,Dachauer Str.,250
797,Dachauer Str.,278
1532,Glogauer Str.,20
797,Dachauer Str.,312
797,Dachauer Str.,334
4792,Trollblumenstr.,15
4417,Simrockstr.,1
69,Albert-Roßhaupter-Str.,41
5044,Weidmannstr.,5
5044,Weidmannstr.,28
6450,Goldnesselweg,28
4166,Schleißheimer Str.,400
4166,Schleißheimer Str.,450
4239,Schopenhauerstr.,44
4239,Schopenhauerstr.,101
4471,Sperlingweg,8
4471,Sperlingweg,14
4471,Sperlingweg,27
4487,Spitzerstr.,32
4487,Spitzerstr.,38
4487,Spitzerstr.,60
4514,Starenweg,11
4514,Starenweg,24
4514,Starenweg,48
4518,Staudenrauchstr.,8
4518,Staudenrauchstr.,16
4605,Strelitzer Str.,6
4632,Sudetendeutschestr.,3
4632,Sudetendeutschestr.,5
4632,Sudetendeutschestr.,25
4632,Sudetendeutschestr.,37
4669,Taunusstr.,38
4740,Tittastr.,7
4804,Tüllesamstr.,10
4804,Tüllesamstr.,23
4808,Tullingerstr.,18
4952,Wachterstr.,25
3500,Pelkovenstr.,102
3500,Pelkovenstr.,145
3500,Pelkovenstr.,156
3619,Plauener Str.,15
3705,Quedlinburger Str.,27
3705,Quedlinburger Str.,37
3861,Riesstr.,16
3865,Rigaer Str.,14
3865,Rigaer Str.,26
3948,Rothschwaigestr.,46
797,Dachauer Str.,354
797,Dachauer Str.,362
797,Dachauer Str.,403
797,Dachauer Str.,457
899,Donaustaufer Str.,13
901,Donauwörther Str.,31
988,Eggmühler Str.,24
988,Eggmühler Str.,48
1093,Ernst-Platz-Str.,30
1093,Ernst-Platz-Str.,40
1093,Ernst-Platz-Str.,46
1769,Hanauer Str.,6
1769,Hanauer Str.,35
1769,Hanauer Str.,45
1792,Hardenbergstr.,28
1834,Haylerstr.,4a
2004,Hirschstr.,14
2091,Hohentwielstr.,5
2396,Kaufbeurer Str.,3
2720,Lauterbachstr.,4
2720,Lauterbachstr.,18
2720,Lauterbachstr.,28
1667,Grünwalder Str.,217
3681,Prinzregentenstr.,125
4155,Schladminger Str.,27
4156,Schlagintweitstr.,18
6241,Josef-Knogler-Str.,9
6241,Josef-Knogler-Str.,33
1675,Gubestr.,22
4166,Schleißheimer Str.,127
4174,Schlierseestr.,62
4176,Schlörstr.,31
4059,St. Emmeram,16
6222,Gothaer Weg,2
4209,Schneebergstr.,9
4213,Schneemannstr.,30
4475,Spessartstr.,26
4237,Schondorfer Str.,23a
4315,Schwindstr.,11
5736,Guttenbrunner Weg,21
5996,Bernhard-Koehler-Weg,13
845,Destouchesstr.,18
2733,Lechelstr.,5
2733,Lechelstr.,18
2733,Lechelstr.,20
2736,Lechstr.,16
2754,Leipziger Str.,71
2754,Leipziger Str.,90
3424,Ostermayrstr.,4
3520,Permanederstr.,3
3520,Permanederstr.,8
3830,Rheinstr.,21
3520,Permanederstr.,26
3520,Permanederstr.,34
3520,Permanederstr.,41
3520,Permanederstr.,43
3639,Pommernstr.,7
3639,Pommernstr.,20
3639,Pommernstr.,29
3670,Preußenstr.,35
3750,Rathenaustr.,36
3750,Rathenaustr.,56
3750,Rathenaustr.,58
3750,Rathenaustr.,60
3750,Rathenaustr.,70
3858,Riesenfeldstr.,46
3858,Riesenfeldstr.,54
3858,Riesenfeldstr.,102
3858,Riesenfeldstr.,106
3858,Riesenfeldstr.,108
4129,Schellingstr.,74
4148,Schillerstr.,23a
6026,Schinkelstr.,31
1667,Grünwalder Str.,103b
1264,Franz-Fihl-Str.,6
1367,Frundsbergstr.,13
1394,Gärtnerstr.,6
1395,Gaggenaystr.,10
1532,Glogauer Str.,5
1532,Glogauer Str.,10
1532,Glogauer Str.,11
1532,Glogauer Str.,34
1545,Gögglstr.,24
1753,Haldenbergerstr.,18
919,Dreimühlenstr.,29
920,Dreisesselbergstr.,36
297,Artilleriestr.,6
943,Dumasstr.,9
383,Bad-Schachener-Str.,7
948,Ebenauer Str.,15
4392,Siegmund-Schacky-Str.,44
400,Balanstr.,135
956,Ebersberger Str.,27
406,Ballaufstr.,14
1364,Frühaufstr.,41a
1249,Forstenrieder Allee,87
3445,Packenreiterstr.,22
3480,Passionistenstr.,22
